0,17.5624,14.0388
1,18.979,15.1257
2,18.4358,14.4621
3,21.1915,14.9384
4,20.1456,15.2199
5,16.4874,14.4082
6,19.4441,14.8114
7,17.5931,15.229
8,37.5654,0
9,37.0614,0.8822
10,36.7767,2.9141
11,34.9292,3.0126
12,36.0183,3.1724
13,33.2216,4.5943
14,33.3515,4.5156
15,33.0474,7.2487
16,31.8587,7.4135
17,32.0896,8.0446
18,30.9921,7.6444
19,29.3731,9.0735
20,27.8705,9.1072
21,31.1106,9.8406
22,28.2113,10.2091
23,28.5278,10.4166
24,28.618,10.9684
25,27.815,11.8724
26,26.4603,11.3184
27,26.5896,13.222
28,26.6424,13.1186
29,27.9813,14.0018
30,25.368,14.0487
31,26.7803,14.5036
32,26.0721,13.4995
33,25.3105,14.0743
34,24.2792,14.7048
35,24.8658,15.309
36,24.8848,16.2012
