0,24.4691,11.1009
1,25.3897,14.6777
2,21.6875,11.4436
3,23.1801,11.2957
4,23.6136,14.0932
5,24.5874,12.8941
6,21.6791,14.4798
7,24.6554,14.7894
8,36.6586,1.9501
9,33.1134,0.2049
10,29.4212,1.5366
11,25.1532,1.1086
12,22.9721,1.9259
13,20.13,1.5588
14,15.511,1.9538
15,14.8114,0.7293
16,11.4812,0.6909
17,9.5506,2.02
18,11.4819,0
19,9.1887,0.2287
20,8.2587,0
21,8.8784,0.3509
22,7.8266,1.5456
23,6.9688,1.7455
24,7.7808,0
25,6.964,0.2231
26,5.6906,0.9281
27,4.1318,0.4246
28,3.9602,1.114
29,6.3313,1.226
30,2.2732,0
31,4.3422,0.5496
32,1.5521,0
33,5.5802,2.0886
34,5.2765,0.0185
35,4.0103,0
36,3.8506,0.4543
